Input,Output
anh lấy áo … lấy chăn tôi … mặc vào … mặc đi,anh áo lấy chăn tôi lấy mặc vào mặc đi
ai làm được_việc này,việc này làm được ai
còn bạc còn tiền còn đệ_tử,bạc còn tiền còn đệ_tử còn
công_việc đang bộn_bề,công_việc bộn_bề
"ao sâu nước cả , khôn chài cá",ao nước sâu khôn chài cá
lúc này gạo_châu_củi_quế,lúc này gạo_châu_củi_quế
"vô_luận kẻ địch hung_bạo thế_nào , hễ đụng vào lực_lượng đó thì địch nào cũng phải tan_rã",vô_luận địch hung_bạo lực_lượng đụng thì địch tan_rã
mọi người đi rồi chỉ còn thằng bé Tun ở nhà,người đi chỉ còn thằng bé Tun nhà ở
người là hoa đất,người hoa đất
tôi cần biết ngày anh lên_đường,ngày anh lên_đường tôi biết cần
"trăng đã lên cao , đêm đã khuya lắm",trăng cao đêm khuya
các con không được cãi nhau nữa,con cãi nhau không được
năng_lực chuyên_môn của anh_ta nói ra không tiện,nói anh_ta năng_lực chuyên_môn tiện không
đề_nghị các đồng_chí yên_lặng,đồng_chí đề_nghị yên_lặng
Nam đập cái cốc vỡ tan,Nam cốc đập vỡ
vì_thế là nhiều đối_với cháu,vì_thế đối_với cháu nhiều
trong đánh ra ngoài đánh vào thì nhất_định thắng,đánh trong ra ngoài đánh vào thì thắng nhất_định
"không ai nói_gì , rồi mọi người lảng dần ra",ai nói_gì không mọi người lảng dần
"cần gì , nói ngay đi",cần nói
lỗi này tại ai thì tôi không biết,lỗi này tại ai tôi không biết
cảnh đẹp mà buồn làm_sao,cảnh đẹp mà buồn làm_sao
thanh này không dài bằng thanh kia,thanh này thanh kia không dài bằng
nó làm rách mất cái màn,nó cái màn làm rách
điều ta không muốn thì không nên làm cho người khác,ta điều muốn không làm cho người khác nên không
tôi mời quý_vị an_tọa,quý_vị an_tọa mời
nó có làm đâu mà làm,nó làm có đâu mà làm
ở đây bơi rất thích,ở đây bơi thích
anh đánh đàn cho tôi nghe,anh đàn đánh tôi nghe
"suốt từ sáng đến chiều , ông ấy làm_việc liên_tục",sáng chiều ông ấy làm_việc liên_tục
lấy chồng hay_chữ là tiên,chồng hay_chữ lấy là tiên
"nước ta là một , dân_tộc ta là một",nước một dân_tộc một
may_vá có khó thì mới_phải học,may_vá khó thì mới_phải học
sáng vác tối vác thì ai mà chả chán,vác sáng vác tối chán
"cái Tý hai hàng nước_mắt ròng_ròng , hôn_hít các em một lượt , rồi lủi_thủi , nó đội mê nón trên đầu và cắp gói áo vào nách",Tý nước_mắt ròng_ròng em hôn_hít nón đội mê trên đầu gói áo vào nách cắp
"em ơi , buồn làm_chi",em buồn làm_chi
cụ Tú tóc đã bạc hết rồi,Tú tóc bạc hết rồi
"nhằm thẳng quân_thù , bắn",nhằm quân_thù bắn
Phải làm thế_nào,làm thế_nào
"cần gì thì nói ngay đi , thưa bẩm mãi",cần gì thì nói bẩm mãi
"trăng đã lên cao , đêm đã khuya lắm",trăng cao đêm khuya
ông_cụ dạo này yếu lắm,dạo này ông_cụ yếu lắm
tôi không dính vào việc này,tôi dính không vào
lại muốn vòi tiền nữa chứ gì,muốn tiền chứ gì
đấm_đá như_thế cứ gọi_là tan xương,đấm_đá như_thế tan xương
khi có nhiều mây đen thì sẽ có lũ_lụt,khi mây đen nhiều thì lũ_lụt có
"hễ tôi hơi động vào mình nó , nó lại lè lưỡi ra y_như thường_ngày",tôi hơi động nó nó lè lưỡi
chẳng_qua là cái nợ_đời chi đây,chẳng_qua nợ_đời chi đây
mẹ nó đánh là đánh cho nó sợ thôi,mẹ nó đánh là đánh cho nó sợ
"tiếng đấm , tiếng đá nhau bình_bịch",đấm đá tiếng bình_bịch
ông nói gà thì bà nói vịt,gà ông nói thì vịt bà nói
ăn_có_nhai_nói_có_nghĩ thì mới là người khôn,ăn_có_nhai_nói_có_nghĩ là người khôn
một người thì chả mến,một người thì mến chả
"vâng , mời bà cứ ngồi chơi thư_thả xơi nước , xơi trầu đã",mời bà ngồi chơi nước xơi trầu xơi
mẹ đã về,mẹ đã về
đời còn quý chữ_nhân thì chưa đến_nỗi,đời chữ_nhân quý thì chưa đến_nỗi
mai mẹ về,mai mẹ về
con muốn ăn đòn phải không,con đòn muốn
thế_thì có khổ cho tôi không,thế_thì tôi khổ
Lương bật đèn_pin nhìn đồng_hồ tay : hai giơ rưỡi sáng,Lương đèn_pin bật đồng_hồ tay nhìn giờ hai rưỡi sáng
mai đã đi thì tôi chuẩn_bị không kịp,mai đi tôi chuẩn_bị không kịp
"nó giải được năm bài , thì ba bài đúng",nó bài năm ba đúng
cụ Tú tóc đã bạc hết rồi,Tú tóc bạc hết rồi
giáo_viên thích bao_nhiêu loại nho,giáo_viên loại nho thích bao_nhiêu
các con không được cãi nhau nữa,con cãi nhau không được
"vườn rộng rào thưa , khó duổi gà",vườn rộng rào thưa gà khó duổi
"ô_hay , con làm_gì",ô_hay con làm_gì
"càng âu duyên mới , càng dào tình xưa",càng âu duyên mới càng dào tình xưa
"cằm ông bạnh ra , mắt ông trợn_trừng , cả người ông như một pho tượng bằng đồng_đen cuồn_cuộn những bắp_thịt",cằm ông bạnh ra mắt trợn_trừng cả người pho tượng bằng đồng_đen cuồn_cuộn bắp_thịt
làm_ăn như_thế thfi không là may rồi,làm_ăn như_thế thì may không
càng đi xuống phong_cách càng quen mắt,đi xuống phong_cách quen mắt
mình đi xe_lửa hay máy_bay,xe_lửa hay máy_bay mình đi
cậu Vàng đi_đời rồi ông giáo ạ,ông giáo cậu Vàng đi_đời rồi
thiết_tưởng chuyện này anh thừa rõ,thiết_tưởng chuyện này anh rõ
mày câm cái mồm đi,mày mồm câm
nó ăn nhiều nhất_là kẹo chanh,nó kẹo chanh ăn nhiều
trong đánh ra ngoài đánh vào thì nhất_định thắng,đánh trong ra ngoài đánh vào thì thắng nhất_định
"như tranh_thủy_mặc ấy , đẹp quá",như tranh_thủy_mặc đẹp
"thật vĩ_đại , người chiến_sĩ trong gian_khổ nghìn_trùng càng cao vời_vợi ý_chí diệt thù cứu nước",vĩ_đại chiến_sĩ trong gian_khổ nghìn_trùng cao vời_vợi ý_chí thù diệt nước cứu
cháu không đi nhà_trẻ được vì trời mưa,nhà_trẻ cháu đi không được vì mưa
cần gì ? nói ngay đi,cần gì ? nói
lạ thay sức_mạnh của tâm_hồn,sức_mạnh tâm_hồn lạ thay
hắn mà dám thế à,hắn dám
hãy tươi mãi màu xanh_tươi ánh thép,màu xanh_tươi tươi mãi ánh thép hãy
"gà trống , gà mái đều là gà sống cả",gà trống gà mái đều gà sống
"thân tôi khổ , thân Ngói cũng khổ",thân tôi khổ thân Ngói khổ
"cái Tý hai hàng nước_mắt ròng_ròng , hôn_hít các em một lượt , rồi lủi_thủi , nó đội mê nón trên đầu và cắp gói áo vào nách",Tý nước_mắt ròng_ròng em hôn_hít nón đội mê trên đầu gói áo vào nách cắp
cha tôi cấm tôi hút thuốc_lá,tôi hút thuốc_lá cha cấm
quan biết thì nó chết,quan biết nó chết
sớm mưa trưa nắng là anh yêu mình,mưa sớm nắng trưa là anh mình yêu
cuốn truyện này không hay,cuốn truyện này hay không
đẹp gì con ấy mà đẹp,con ấy đẹp gì mà đẹp
con phải cất áo_quần vào kẻo mưa đến_nơi rồi đấy,con áo_quần cất mưa
chợ không họp vì không phải phiên,chợ không họp vì không phải phiên
dưới chồng tạp_chí có cuốn Chí_Phèo,dưới tạp_chí có cuốn Chí_Phèo
"đừng ra sân , ngoài ấy rét lắm",sân ra đừng ngoài ấy rét
khi tàu chạy thì về,tàu chạy thì về
món này ăn thì ngon nhưng làm thì mất_công,món này ngon nhưng làm mất_công
tôi cấm anh hút thuốc_lá,anh thuốc_lá hút tôi cấm
người_ta đã yêu_mến anh là vì_thế,người_ta anh yêu_mến
nếu anh thấy cần thì tôi làm xong ngay,nếu anh cần thì tôi làm xong ngay
giáo_viên thích gì,giáo_viên thích gì
Nam trúng_cử,Nam trúng_cử
người đâu mà vô_tâm,người đâu mà vô_tâm
dễ người dễ ta,dễ người dễ ta
đi_sau chót chắc là cơ_quan ta,đi_sau cơ_quan ta chắc chót
đã bấy_lâu_nay bác tới nhà,đã bấy_lâu_nay bác tới nhà
tôi thương mẹ nhất,tôi mẹ thương nhất
hoa bưởi thơm rồi : đêm đã khuya,hoa bưởi thơm đêm khuya
liễu xa đào liễu ngả đào nghiêng,liễu đào xa liễu ngả đào nghiêng
"anh Đức này , anh lấy tôi làm vợ nhé",anh Đức anh tôi lấy làm vợ
cảnh đẹp mà buồn,cảnh đẹp mà buồn
"trẻ thời đi vắng , chợ thời xa",trẻ thời đi vắng chợ thời xa
Làm_sao mà trốn về được,trốn về Làm_sao
năm nay mưa ít quá,mưa năm nay ít
chẳng thơm cũng thể hoa nhài,thơm chẳng cũng thể hoa nhài
tôi thì làm được,tôi làm được
"từng bụi tre , vườn chè , vườn cọ , con ngòi , đám ruộng đã quen_thuộc , đáng yêu không khác_gì nơi quê_hương mình rồi",bụi tre vườn chè vườn cọ ngòi ruộng quen_thuộc yêu không khác_gì nơi quê_hương mình
cái xe màu đỏ ấy mới là xe của tôi,xe màu đỏ là xe của tôi
con hãy ngừng ngay cái việc đáng đánh_đòn ấy,ngừng ngay việc đáng đánh_đòn
tôi đã xem trận ấy,tôi trận ấy đã xem
gã kia làm hỏng cái máy mất,gã kia máy làm hỏng
bài thi toán cháu được nửa điểm,bài thi toán cháu nửa điểm
gì chứ cơm ngày hai bữa thì vẫn có,gì chứ cơm hai bữa có
khi có nhiều mây đen thì sẽ có lũ_lụt,khi mây đen nhiều thì lũ_lụt có
"ở đây lúc này , trời sắp mưa",ở đây lúc này mưa sắp
lúc ấy có_thể nghe thấy một cái tác rất kêu,lúc ấy tát nghe
ở đây tôi cũng làm_việc,tôi ở đây làm_việc
sách có hay thì người_ta mới thích đọc,sách hay có người_ta đọc thích
tôi cũng không biết,tôi không biết cũng
điều ta không muốn thì không nên làm cho người khác,ta điều muốn không làm cho người khác nên không
muốn ấm_no thì_phải làm_gì,ấm_no làm_gì
thôi_thì có phải bán cả con lẫn chó cũng đành,thôi_thì con chó bán phải đành
hoa bưởi thơm rồi : đêm đã khuya,hoa bưởi thơm đêm khuya
em ai thích nhất kẹo chanh,kẹo chanh thích nhất em ai
chắc_chắn là tớ sẽ được điểm 10 về môn toán,tớ toán điểm 10 được chắc_chắn
"đèn đêm đã bật , sân_bay lại bắt_đầu làm_việc",đèn đêm bật sân_bay bắt_đầu làm_việc
anh mời thì tôi đến,anh mời tôi đến
hiếm một nỗi là ông_bà ấy không có con_trai,hiếm ông_bà ấy con_trai không
lúc ấy có_thể nghe thấy một cái tác rất kêu,lúc ấy tát nghe
họ gặp nhau lần cuối là trong chiến_dịch Tây_Bắc,họ lần cuối gặp trong chiến_dịch Tây_Bắc
"nhiều bướm quá , có con đẹp quá kìa",bướm nhiều có con đẹp quá
các bạn giữ trật_tự,bạn trật_tự
"nước ta là một , dân_tộc ta là một",nước một dân_tộc một
"của_đáng_tội , nó có biết gì đâu",của_đáng_tội nó biết gì
"ngoài đình , trống lại thúc , mõ lại khua , tù_và rúc liên_thanh bất chỉ",ngoài đình trống thúc mõ khua tù_và liên_thanh rúc
